content,sender,words
《“五一”能出游吗？张文宏：可以，但要做到这几点》“五一”假期里，可以出门旅游吗？上海市新冠肺炎临床救治专家组组长，复旦大学附属华山医院感染科主任张文宏给大家带来“五一”健康出行提示!http://t.cn/A6ALazma,普通用户,出游 张文宏 出门 旅游 上海市 临床 救治 专家组 组长 复旦大学 华山医院 科主任 张文宏 带来 健康 出行 提示
抗击新冠疫情，世界迫切需要中国的思想领导力-罗思义-观察者网 http://t.cn/A6Z53v8o,普通用户,抗击 世界 迫切需要 思想 领导力 罗思义 观察者
#大学生拍摄虐猫视频贩卖# 和新冠病毒合葬谢谢[微笑][微笑][微笑],普通用户,大学生 拍摄 贩卖 合葬 谢谢 微笑 微笑 微笑
从应对新冠肺炎疫情表现看，谁是真正的大国？ 从应对新冠肺炎疫情表现看，谁是真正的大国？,普通用户,应对 表现 大国 应对 表现 大国
#抗击新型肺炎第一线##庆余年#  要看完了快[吃瓜] 太原 显示地图,普通用户,抗击 看完 太原
【#北京明确8类人需要核酸检测#】北京市今天下午召开⚠️COVID⚠️疫情防控新闻发布会，明确对八类人员实施行核酸检测： ①新冠肺炎病例和密切接触者； ②发热门诊就诊人员； ③急需住院治疗患者； ④经北京口岸入境人员； ⑤武汉返京即将解除隔离观察人员； ⑥中央和国家机关出差返京人员； ⑦外地来京入住酒店宾馆人员； ⑧高三、初三外地返京和入境进京师生员工。,普通用户,北京 类人 核酸检测 北京市 今天下午 疫情防控 新闻 发布会 人员 实施 核酸检测 密切接触者 发热 门诊 就诊 人员 急需 住院治疗 北京 入境 人员 武汉 返京 解除 隔离 观察 人员 中央 国家机关 出差 返京 人员 外地 来京 入住 酒店宾馆 人员 高三 外地 返京 入境 进京 师生员工
小县城的红十字会做的好多了#武汉红十字会存在调拨不及时问题##鹤峰##鹤峰红十字会#公开！暖心！鹤峰县新冠病毒感染的肺炎防控接收捐赠情况公示,普通用户,县城 红十字会 武汉 红十字会 调拨 鹤峰 鹤峰 红十字会 公开 鹤峰县 防控 接收 捐赠 情况 公示
我免费围观了 @京虎子 的回答，问题价值 66.00 元，快来一起围观~ &lt;br /&gt;微博问答:新冠病毒会不会无法消灭，一直在人群中小规模传播，从而改变了我们未来的生活方式?,普通用户,免费 围观 虎子 回答 价值 围观 问答 消灭 人群 传播 改变 生活 方式
#河南累计确诊新型肺炎增至128例#遭不住了😭我们漯河这小破地方都有六例,普通用户,河南 累计确诊 增至 不住 漯河 地方
抗击新型肺炎，我们在行动…… 长沙 曲奇0928的微博视频 显示地图,普通用户,抗击 长沙 曲奇
#全国确诊新型肺炎病例#外面鞭炮声震翻天，新年到了，可是我在被窝里真的哭到不能自己，好多医生在这万家团圆的除夕夜奔赴武汉前线！真的很感谢医生，军人！谢谢你们！希望能一个不落的回来，病毒你快离开大中国好么，离开全世界！[泪][泪][泪]加油！武汉！加油！中国！！🇨🇳🇨🇳🇨🇳,普通用户,全国 鞭炮声 翻天 被窝 医生 团圆 奔赴 武汉 前线 感谢 医生 军人 谢谢你们 希望 不落 回来 病毒 离开 离开 全世界 加油 武汉 加油
樱花开满了树梢，粉白色的花瓣覆满了街道，这是DC的春天呀[微风]Cherry blooms without any fear of Coronavirus. That is the beautiful magic of nature[心]  #我的摄影日记#  #约翰霍普金斯大学#,普通用户,樱花 开满 树梢 粉白色 花瓣 覆满 街道 微风 摄影 日记 约翰霍普金斯 大学
#最小新型肺炎确诊病例仅2岁#我不说别的，广西一级响应，响应在哪里，广西壮族自治区的首府南宁市，最大的几个客运站之一的江南客运站，在车站里面，虽然人流量少，但是也只有寥寥无几的人戴口罩，外面拉客的人都没有戴口罩，路上戴口罩的人也不多，这是首府南宁，这里还是靠近市中心的地方。这个疾病的宣传真的是一点都不到位！,普通用户,最小 广西 响应 响应 广西壮族自治区 首府 南宁市 客运站 江南 客运站 车站 人流量 戴口罩 拉客 戴口罩 戴口罩 首府 南宁 靠近 市中心 地方 疾病 宣传 到位
#新型冠状病毒# 传播速度太太太快了  每刷新一次微博 确诊人数和省份就多几个   现在满脑子都在想该怎么预防该怎么预防啊[泪]非典也是吃出来的  新型肺炎也是吃出来的   爱护野生动物人人有责  实在想吃野味  学学我们云南人啊  吃野生菌  中毒只影响自己不影响其他人    [泪] 弥勒市 显示地图,普通用户,新型 传播速度 太太 刷新 人数 省份 想该 预防 预防 爱护 野生动物 实在 野味 学学 云南 中毒 影响 影响 弥勒
刚看到查尔斯王子新冠检测呈阳性，差点被水给呛着。王冠未至，新冠已临。六十余年的太子命运多舛。,普通用户,查尔斯 王子 检测 阳性 差点 呛着 王冠 已临 太子
#意大利新增3590例新冠肺炎#倒三角形的白色柱子，不仅起到了隔断空间的作用，还起到了装饰效果，一举两得。白色铁艺挂钟，欧式田园风格浓厚，配合了整个空间的基调。,普通用户,意大利 新增 倒三角形 白色 柱子 起到 隔断 空间 作用 起到 装饰 效果 白色 铁艺 挂钟 欧式 田园 风格 浓厚 配合 空间 基调
+430 -2892『全球新冠病毒最新实时疫情地图_丁香园』http://t.cn/A6PNw0Ha,普通用户,全球 丁香
"2020年3月8日 天气：多云        一晃的来，女儿已经出生了21天了。距离出月子（月子中心）还有8天。          去年的2月14号，我跟我家那位领的证，今年正好一周年。巧的是，我们女儿15号出生了。          谁曾想，今年过年前爆出来新冠病毒，而孕妇和小孩又是最易感染人群，搞得我怀我女儿的时候紧张兮兮的。          我是13号晚上十点多一直宫缩到女儿出生才解脱。从起初的一个多小时痛一次，到后来越来越频繁。本来就体质差的我，大晚上去医院住院部产检，却被测体温说发低烧了。         我老公、婆婆一个劲地跟护士解释说没有外出，近期一直在家，也绝对没有接触武汉人，我发烧就是宫缩没休息好引起的。可护士根本不听我们解释，不相信我们说的任何一句话，把我当""怪物""一样避嫌，一直没给过我好脸色看。         后来她们帮我查看宫口开了几指，我疼的要命，恳求她们让我缓一缓。那个护士没好气地说着，能不能配合一下！都跟你一样不配合，我们还怎么帮你查！你还想不想生孩子了！          我害怕地要命，一直疼地发抖，还脚抽筋，虚汗出个不停，烧也一直退不下来。老公坚持要医生帮我无痛分娩，护士一个劲地说要把我""隔离""，后来她们把我老妈叫进来陪我。我就这么跟隔壁床一个二胎的，你一声，我一声地喊叫着，实在疼得厉害。护士让我们数好几分钟宫缩一次。再后来我就被推进了产房准备分娩。         不会使劲，不会换气，愣是从凌晨十二点一直到两点多还是没生下来。护士一个劲地打哈欠，嫌弃我笨，一个劲地说着，怎么就是教不会你，别人教了几遍早学会了。态度差的要命，一脸的不耐烦，搞得好像我不想生下来一样。我一直没见红也没破水，就这么僵持着，直到后来她叫来一个比较有经验的医生。          那个医生一进来就一直鼓励我，叫我加油，再使把劲。后来她帮我破了水，侧切了一刀。04点50分，我听见一声强有力的啼哭声，医生抱过来告诉我，是个女孩儿。         侧切地太大了，我不幸被缝了五针。缝完以后我被缓缓的推出了产房，老公摸着我的头，一脸的心疼，只是对我说了一句，老婆，你辛苦了。却足以让我感动到想哭。        再后来我被推进了""隔离病房""。每天医生、护士都要帮我测体温，还用老长的棉签戳我鼻孔和喉咙口，说要拿去检测，搞得我很不舒服。          我的低烧一直到三天左右才缓缓退下恢复正常体温。都说女儿生日，却是妈妈的受难日，我就觉得像去鬼门关走了一遭一样，真的是不幸中的万幸。         女儿肉嘟嘟的，脸上也很干净平整，没有胎记，这让我很欣慰。她真的是很喜欢笑，动不动就面带微笑，很是可爱。这让我心情很愉悦。          都说女儿是妈妈的小棉袄，爸爸的小情人。我们真的是爱死她了，觉得她可爱到爆炸了。           我先不跟你们说了，继续眯会了。醒了还要给乐乐喂奶呢。",普通用户,天气 多云 一晃 女儿 出生 距离 月子 中心 正好 女儿 出生 孕妇 小孩 最易 人群 女儿 紧张 缩到 女儿 出生 解脱 小时 频繁 体质 医院 住院部 测体温 老公 婆婆 护士 解释 外出 接触 武汉 发烧 休息 护士 解释 怪物 避嫌 没给 脸色 查看 要命 恳求 护士 配合 配合 不想 孩子 害怕 要命 疼地 发抖 抽筋 虚汗 退不 老公 医生 无痛分娩 护士 隔离 老妈 喊叫 实在 厉害 护士 推进 产房 分娩 使劲 换气 是从 护士 打哈欠 嫌弃 学会 态度 要命 不耐烦 好像 不想 没见 没破 僵持 经验 医生 医生 鼓励 加油 听见 强有力 啼哭 医生 告诉 女孩儿 切地 不幸 推出 产房 老公 心疼 老婆 辛苦 足以 感动 推进 隔离病房 医生 护士 测体温 老长 棉签 鼻孔 喉咙 检测 舒服 低烧 体温 女儿 妈妈 鬼门关 不幸 万幸 女儿 干净 平整 胎记 欣慰 喜欢 可爱 心情 愉悦 女儿 妈妈 棉袄 爸爸 情人 可爱 爆炸 乐乐 喂奶
#全国确诊新型肺炎病例#政治正确的数据增长，离真相还有多远？,普通用户,全国 政治 正确 数据 增长
现在朋友圈都是卖口罩的，我这朋友给力，她不单止卖口罩，还赠送给人，02Jpkjy11，得好心人啊！#全国确诊新型肺炎病例##口罩##武汉#,普通用户,朋友圈 口罩 朋友 止卖 口罩 赠送给 好心人 全国 口罩 武汉
武汉市慈善总会关于新型肺炎防控社会捐赠款使用的公告（第1号） 武汉市慈善总会关于新型肺炎防控社会捐赠款使用的公告（第1号）,普通用户,武汉市 慈善 总会 防控 社会 捐赠 公告 武汉市 慈善 总会 防控 社会 捐赠 公告
#全国确诊新型肺炎病例# @12301旅游服务  现在疫情那么严重，旅行社还是全损，我们是该响应国家号召，好好在家自我隔离，还是自我全损，还是世界各地到处跑呢？,普通用户,全国 旅游 服务 旅行社 响应 国家 号召 隔离 到处跑
【荷兰养老院问题堪忧，首相母亲所在养老院已有人感染】对于荷兰首相吕特来说，可怕的新冠病毒也越来越近了，因为在首相母亲居住的海牙疗养院Benoordenhout中，已经诊断出感染新冠病毒的个案，在数十名居民中，有3人已受感染，不过，吕特的母亲仍然无恙。http://t.cn/A6wl44Wo,普通用户,荷兰 养老院 堪忧 母亲 养老院 已有 荷兰 吕特 越来越近 母亲 居住 海牙 疗养院 诊断 个案 居民 吕特 母亲
点击查看答案新冠肺炎确认新增的传播途径是什么？ http://t.cn/A6PklwDl,普通用户,点击 查看 答案 确认 新增 传播 途径
刷了几天新型肺炎，好担心好害怕，真的害怕，睡觉了，希望明天起来看到的新闻不要让我更恐慌[悲伤]武汉加油！,普通用户,担心 害怕 害怕 睡觉 希望 新闻 恐慌 悲伤 武汉 加油
#武汉一名新型肺炎患者被成功救治# 这个消息仿佛是这次战役的曙光，虽然渺茫，虽然才刚刚开始，但我们看到了第一个，就会有一个方向，然后就会有第二个，第三个……  这不仅仅是武汉人的事，更是全球关切的大事！希望明天的话题，我们可以看到更多的希望，更多被治愈的信息！  也通过这次的事情，让我们真正重视起来！加油武汉，加油中国，加油全世界！  最后，用过的口罩属于医用垃圾，在垃圾分类里是属于有害垃圾的，所以呼吁大家，从我做起，用废的口罩请用酒精or开水处理后，剪碎丢弃到“有害垃圾”桶内！  不要让保护我们的口罩，成为了新一轮的污染源！ http://t.cn/EGc2DE2显示地图,普通用户,武汉 成功 救治 消息 战役 曙光 渺茫 刚刚开始 方向 武汉 全球 关切 大事 希望 话题 希望 治愈 信息 事情 重视 加油 武汉 加油 加油 全世界 用过 口罩 医用 垃圾 垃圾 分类 有害 垃圾 呼吁 用废 口罩 酒精 开水 剪碎 丢弃 有害 垃圾 保护 口罩 新一轮 污染源
東京都で4日、新たに118人の感染者が確認された。1日あたりの感染者としては初めての100人超えとなる。都内で感染が確認された人は合わせて892人になった。 #日本新型肺炎##东京##口罩##新型肺炎#,普通用户,东京都 感染者 确认 感染者 确认 日本 东京 口罩
我不担心在全球蔓延，我担心是不能尽快复工复产，造成全球防疫物资缺乏！我们要建好隔离另外输入的防火墙，尽快处理分流治疗另外输入病例。尽快消灭国内已有病例，做好监察做好数据跟踪，让新冠肺炎在国内完全透明。另外输入病例的隔离治疗必须是自费！国家还要管控救灾物资！ 国外疫情得不到很好的控制，你会担心这次新冠将在地球会持久存在吗？,普通用户,担心 全球 蔓延 担心 复工复产 全球 防疫 物资 缺乏 建好 隔离 输入 防火墙 分流 治疗 输入病例 消灭 已有 做好 监察 做好 数据 跟踪 透明 输入病例 隔离治疗 自费 国家 管控 得不到 很好 控制 担心 地球 持久
##新冠当下危重早产儿艰难的进京求医路## 小善意，大温暖。我在“新冠当下危重早产儿艰难的进京求医路”项目捐款成功！愿点滴之举温暖更多心灵。@中华儿慈会-祝福宝贝新冠当下危重早产儿艰难的进京求医路,普通用户,危重 早产儿 艰难 进京 求医 善意 温暖 危重 早产儿 艰难 进京 求医 项目 捐款 成功 点滴 温暖 心灵 中华 祝福 宝贝 危重 早产儿 艰难 进京 求医
#鹏友来信#@小鹏汽车  不知不觉作为小鹏车主已经303天了，虽然起初是迫于摇不到号的无奈[失望]，才关注的新能源汽车，但第一次看到小鹏汽车的照片时，就已经被她非常有辨识度的外形所吸引了[色]，再深入了解其各项颠覆以往传统油车的黑科技后，兴奋的下定了我的第一台车[鼓掌]。在5个月焦虑的等待后，终于提车啦[太开心]，在之后上班的每一天，都有小鹏陪伴着一路前行，也结实了一班可爱的车友们，每每在路上碰到小鹏汽车，都像看到亲人一样，兴奋的打招呼[嘻嘻]。虽然在7月初经历那一段让老车主很不安的风波后，但都是爱之深责之切，希望小鹏能认真的把好产品做下去。  2020年遇到这突发的新冠肺炎疫情，小鹏也第一时间给车友免费送了口罩，大家一起“温暖同行，守望相助”…好啦，说了那么多，最后也希望小鹏越来越好，产品越做越棒，老车主还等着3年后置换哦，嘿嘿[亲亲],普通用户,来信 小鹏 汽车 小鹏 车主 不到 失望 关注 新能源 汽车 小鹏 汽车 照片 辨识 外形 吸引 颠覆 传统 油车 科技 兴奋 下定 鼓掌 焦虑 等待 提车 开心 上班 小鹏 陪伴着 前行 结实 可爱 车友们 碰到 小鹏 汽车 亲人 兴奋 打招呼 经历 车主 不安 风波 爱之深 希望 小鹏 产品 突发 小鹏 时间 车友 免费送 口罩 温暖 希望 小鹏 产品 越做越 车主 置换 亲亲
合川新增治愈出院病例1例，累计确诊病例23例。2020年3月3日0—24时，重庆市无新冠肺炎新增确诊病例报告，新增治愈出院病例21例。04oafLn07。增治愈出院病例中，万州区5例、涪陵区1例、江北区2例、九龙坡区1例、南岸区1例、合川区1例、綦江区1例、大足区1例、铜梁区1例、垫江县2例、忠县1例、云阳县1例、奉节县 ...全文,普通用户,合川 新增 治愈 出院 累计 重庆市 新增确诊病例 报告 新增 治愈 出院 治愈 出院 万州区 涪陵区 江北区 九龙坡区 南岸区 合川 綦江 铜梁 垫江县 忠县 云阳县 奉节县 全文
有没有觉得这次世界疫情会是中国翻盘的机会，让世界人民重新认识中国[笑而不语]#新冠肺炎有可能成为大流行病#,普通用户,有没有 世界 翻盘 机会 世界 人民 不语 流行病
#新型肺炎已致湖北17人死亡##武汉加油##全国确诊新型肺炎病例# 今天我的生日，生日愿望是愿疫情早日消失，在武汉的医护人员加油，武汉里的人民加油，我们都在为你们加油。祝全国患者早日康复。,普通用户,湖北 死亡 武汉 加油 全国 愿望 消失 武汉 医护人员 加油 武汉 人民 加油 加油 全国
《关于进一步规范和加强新冠肺炎流行期间消毒工作的通知》及解读 http://t.cn/A67iJF9I,普通用户,规范 流行 消毒 工作 通知 解读
#zxc155##特朗普弄错首例新冠肺炎逝者性别#   唐纳德总是以超强的心理素质信心满满地出现在任何场合，因为，唐纳德的座右铭是：  It doesn't really matter.    回顾一下唐纳德的高光时刻（The best moments） L逗比特朗普的搞笑时刻 逗比特朗普的搞笑时刻,普通用户,特朗普 弄错 首例 逝者 性别 唐纳德 超强 心理素质 信心 场合 唐纳德 座右铭 回顾 唐纳德 高光 时刻 逗比 特朗普 搞笑 时刻 逗比 特朗普 搞笑 时刻
小区的花🌹已经开了。离解封应该越来越近啦！#抗击新型肺炎第一线##宝宝的少女心# 武汉·后湖 显示地图,普通用户,小区 离解 越来越近 抗击 宝宝 少女 武汉 后湖
我在看：【华南农业大学发现穿山甲为新冠病毒潜在中间宿主】#跟新浪看热点#  华南农业大学发现穿山甲为新冠病毒潜在中间宿主,普通用户,华南农业大学 发现 穿山甲 宿主 新浪 热点 华南农业大学 发现 穿山甲 宿主
2020.04.01 普拉托的华人中“没有一例新冠病毒感染” 当地华人移民有2.4万人 华人返回意大利后开始减少外出，加强个人防护，暂停营业 外出时开始戴上口罩和手套 在意大利的疫情暴发前，意大利曾担心普拉托的华人会成为感染源，“但相反的是，他们比我们做得好”。 意大利是最早停飞中国的国家之一，于1月31日就停止了往来中国的航班,普通用户,普拉 华人 华人 移民 华人 返回 意大利 减少 外出 防护 暂停营业 外出 口罩 手套 意大利 暴发 意大利 担心 普拉 华人 做得好 意大利 停飞 国家 停止 航班
『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6v1jJR8,普通用户,全国 动态 丁香 丁香 医生
#全国确诊新型肺炎病例# 最不爽的就是我才捐了30块 居然有人说这么有钱还捐钱啊 woc我虽然是学生 但这样也就一顿外卖的钱 我就捐了怎么了[摊手][摊手],普通用户,全国 不爽 有钱 捐钱 学生 外卖 摊手 摊手
#清明祭# 【今天发条微博，为那些没能来得及的告别】今日，全国哀悼。此刻，一起缅怀，为逝去的同胞！#哀悼抗击新冠疫情牺牲烈士和逝世同胞# #全国性哀悼活动# [组图共11张],普通用户,清明 发条 告别 全国 哀悼 缅怀 逝去 同胞 哀悼 抗击 牺牲 烈士 逝世 同胞 全国性 哀悼 活动 组图
"组织律师向欧美放纵病毒索赔！ 欧美提出的“毒源""索赔是可笑而无法理支持的，可以理论反击，并不可怕！ 由于欧美的决策失误，导致病毒在世界范围内大面积传染，这个是反人类的。尤其是用流感掩盖新肺炎；以身试毒的“群体免疫""，阻止民众隔离；指责，断供，干扰世卫工作。这些都是有规则可以利用起诉的。  呼吁这些国家象中国那样处理抗疫不力的渎职官员那样，撤职查办相关官员！",普通用户,组织 律师 欧美 放纵 病毒 索赔 欧美 提出 毒源 索赔 可笑 支持 理论 反击 欧美 决策 失误 导致 病毒 世界 大面积 传染 人类 流感 掩盖 以身 试毒 群体免疫 阻止 民众 隔离 指责 断供 干扰 世卫 工作 规则 利用 起诉 呼吁 国家 抗疫 渎职 官员 撤职查办 相关 官员
#全民免费领抗疫险# 我已经成功领取抗疫保障，最高10万保额，危重症状确诊即陪；赶紧和我一起领取吧@让红包飞@吴奇隆@黄渤，速戳免费领取免费领保障，共抗新冠肺炎,普通用户,全民 免费 抗疫 成功 领取 抗疫 保障 保额 危重 症状 领取 红包 吴奇隆 黄渤 速戳 免费 领取 免费 保障
#武汉##全国确诊新型肺炎病例##武汉再建10座方舱医院##全国确诊新型肺炎病例#   Westerdam邮轮。  全球疫情转折点。,普通用户,武汉 全国 武汉 方舱医院 全国 邮轮 全球 转折点
今天。 先和a去医院A就诊，然后说下午才拍片 于是漫长的几个钟头决定和b去医院B办个诊疗卡顺便看能不能挂号 然后b要下午两点半才开始就诊 于是就去逛个街吃个饭 一点的时候又回去医院A 轮到a拍片了，然后a的结果要之后才有 就决定下次挂号的时候再来拿 两点钟的时候回到医院B， 等了半个钟之后医生终于来上班了，因为排到第二十几个 于是我先睡了一觉 半个钟过去了 居然只看了一个人 好像还说什么电脑烂了 换了个诊室 不知道等了多久终于排到了，没几分钟就出来了说要去拍片，于是又等拍片，拍完又半个钟才拿到结果，最后 没啥了 付费取药，完。  在下午漫长的等待中 有两件事 赞子发声 和 傻仔领导终于发话说让我们茶重了 ，当时我的手机只剩二十几电了 还没带充电线[伤心] 一句话，今天就是在两家不同医院之间奔波。啊 好脏 有一家还是新冠定点 看废话看到这里的你们一定是真爱 接下来我要说第二个废话 就是 今天和51这两个数字好有缘哦[doge]买奶茶151号，吃饭用了减50的消费券就只用支付151元[doge][doge][doge],普通用户,医院 就诊 拍片 漫长 钟头 医院 诊疗 顺便 看能 挂号 就诊 去逛 回去 医院 轮到 拍片 挂号 回到 医院 医生 上班 好像 电脑 诊室 排到 拍片 拍片 拍完 钟才 拿到 付费 取药 漫长 等待 两件事 赞子 发声 领导 发话 手机 充电 伤心 医院 奔波 定点 废话 废话 数字 有缘 奶茶 吃饭 消费 只用 支付
#抗击新型肺炎我们在行动# 抗击肺炎，驰援捐助，每个人都是行动者！在线捐款、物资求助、免费义诊、企业捐赠，爱心无处不在，动动手指就可以为疫情防控阻击战贡献一份力量，快来参与！ 抗击新型肺炎我们在行动,普通用户,抗击 抗击 驰援 捐助 行动者 捐款 物资 求助 免费 义诊 企业 捐赠 爱心 动动手 疫情防控 阻击战 贡献 力量 参与 抗击
#医学奇迹# 在我的模型中，平均每个新冠潜伏者，可以治愈656个病人[跪了] 下个诺贝尔医学奖是我的了,普通用户,医学 奇迹 模型 平均 潜伏 治愈 病人 诺贝尔 医学奖
南方都市报：新冠肺炎患者的生死自述。 向医者致敬，为患者祈祷🙏🙏🙏 東坡往之的微博视频,普通用户,都市报 生死 自述 医者 致敬 祈祷 东坡
我分享了文章 郭齐勇：对“新冠时代”的反思,普通用户,分享 郭齐勇 时代 反思
【工信部印发《中小企业数字化赋能专项行动方案》】方案目标为，坚持统筹推进新冠肺炎疫情防控和经济社会发展，以新一代信息技术与应用为支撑，以提升中小企业应对危机能力。 分享自@雪球 【工信部印发《中小企业数字化赋能专项行动方案》】方案目标为，坚持统筹推进新冠肺炎疫情防控和经济社会发展，以新一代信息技术与应用为支撑，以提升中小企业应对危机能力,普通用户,工信 印发 中小企业 数字化 赋能 专项 方案 方案 目标 统筹 推进 疫情防控 经济社会 发展 信息技术 支撑 提升 中小企业 应对 危机 能力 分享 雪球 工信 印发 中小企业 数字化 赋能 专项 方案 方案 目标 统筹 推进 疫情防控 经济社会 发展 信息技术 支撑 提升 中小企业 应对 危机 能力
新冠、火灾、火车翻车......  2020这是怎么了。“无症状感染”，这个名词让本来稍稍卸下防备的心，突然又紧了起来。,普通用户,火灾 火车 翻车 无症状 名词 卸下 防备
#特朗普自称战时总统# #盖茨点赞中国检测和隔离# #美国人免费检测新冠病毒# #群体免疫# #英国疫情# 即使病毒肆虐全球，夺走无数人的生命，人类还是没忘记互相攻击。英国版「群体免疫」，是科学还是谎言？,普通用户,特朗普 自称 总统 盖茨 检测 隔离 免费 检测 群体免疫 英国 病毒 肆虐 全球 夺走 生命 人类 忘记 英国 群体免疫 科学 谎言
凿壁偷光  =  白嫖???  你币有了#美国一只老虎新冠病毒检测呈阳性# 忻州·定襄县 显示地图,普通用户,老虎 检测 阳性 忻州 定襄县
中国日报:【绿茵场上的温暖：#法甲名门声援中国抗击疫情#】据中国驻法国大使馆官方公众号，23日晚法甲联赛，巴黎圣日耳曼球队对阵波尔多队。巴黎队及球童身着印有“中国加油”的特别版球衣声援中国抗击新冠疫情，现场广告牌也打出“中国加油 STAY STRONG CHINA”的字样。（记者 张陨璧）  http://t.cn/RxewCns显示地图,普通用户,中国日报 绿茵场 温暖 法甲 名门 声援 抗击疫情 法国 大使馆 官方 公众 法甲 联赛 巴黎 圣日耳曼 球队 对阵 波尔多 巴黎 球童 身着 印有 加油 特别版 球衣 声援 抗击 现场 广告牌 打出 加油 字样 记者 陨璧
不知原谅什么，诚觉一切皆可原谅#抗击新型肺炎第一线#,普通用户,不知 原谅 诚觉 原谅 抗击
#韩国新冠肺炎感染增至1766人#方舱医院必须尽快建起来啊，十分十分的必要,普通用户,韩国 增至 方舱医院
民政部：患新冠肺炎贫困户最高获1万救助金 民政部：患新冠肺炎贫困户最高获1万救助金,普通用户,民政部 贫困户 救助金 民政部 贫困户 救助金
新型肺炎对2020的房价走势有什么影响？  写回答 疫情过后，大户型房价必涨，毕竟房子太小，不方便在家旅游。[允悲],普通用户,房价 走势 影响 回答 大户型 房价 必涨 房子 太小 旅游 允悲
#flying fox bat#  澳洲最近新冠闹的正凶 晚上车库里飞进来只🦇 被车库的房梁撞的晕头转向的 圆滚滚的屁股太特么吓人了 澳大利亚·悉尼 毛球YUAN的微博视频 显示地图,普通用户,澳洲 正凶 车库里 飞进来 车库 房梁 屁股 吓人 澳大利亚 悉尼 毛球
#TYUST同伴社·新型肺炎# 假期结束，走出家门，返岗上班，开始新一年的工作生活，不少人担心在家之外的防护问题。 为方便大家掌握正确的防护知识，健康中国（国家卫生健康委政务新媒体平台）联合中国政府网、中国疾控中心，汇集了大家关心的200个新冠肺炎科普问答，推出【新型冠状病毒肺炎疫情防控知识库👇】 http://t.cn/RMwr63n显示地图,普通用户,同伴 结束 走出 家门 返岗 上班 工作 生活 担心 防护 正确 防护 知识 健康 国家 卫生 健康 政务 媒体 平台 联合 中国政府 疾控中心 汇集 关心 科普 问答 推出 新型 疫情防控 知识库
研发新的疫苗肯定需要时间。在此时间内重要的是把新冠病毒控制住，不让它持续蔓延，才是关键。中国一定可以的。中国加油。 新冠病毒疫苗可能在18个月内完成，你觉得这个时间是长还是短？,普通用户,疫苗 肯定 时间 时间 控制 不让 持续 蔓延 关键 加油 疫苗 时间
意大利一市长确诊新冠肺炎去世 市民上街送别导致全城被封锁@QQ浏览器 意大利一市长确诊新冠肺炎去世 市民上街送别导致全城被封锁 佛山·熹涌村公交站 显示地图,普通用户,意大利 市长 去世 市民 上街 送别 导致 全城 封锁 浏览器 意大利 市长 去世 市民 上街 送别 导致 全城 封锁 佛山 熹涌 公交站
《海上花列传》写得平实连贯，从头到尾都是白描，毫无企图心。写得很淡，但是人物神采飞扬。 所幸上海人看苏白是没障碍的，文中的氛围和作者的慈悲心体会更深。 “回南市咸瓜街” “胡一四七” 一样的地方，一样的游戏。时空交错。#因为新冠##有灵魂##海上花列传#,普通用户,海上花列 平实 连贯 白描 企图心 很淡 人物 上海 苏白 障碍 氛围 作者 慈悲心 体会 南市 咸瓜街 胡一 地方 游戏 时空 交错 灵魂 海上花列
//////独步江畔C:让图1的傻狗失望了，这是为了分流非新冠病人的临时医院，03GauEF30，本不是方舱 查看图片,普通用户,江畔 傻狗 失望 分流 病人 医院 方舱 查看 图片
某些人造谣真是搞得人心惶惶[允悲][允悲][允悲]WHO根本不存在疫区国说法，只有PHEIC，而PHEIC是非强制性的建议，等于告诉其他国家：这里病情比较严重了，你们自己注意看着办吧。巴西寨卡病毒2016年2月被定为PHEIC，11月才取消，中间8月份办了奥运会[允悲][允悲][允悲],普通用户,造谣 允悲 允悲 允悲 疫区 说法 是非 强制性 建议 等于 告诉 国家 病情 比较严重 看着办 巴西 病毒 定为 取消 月份 允悲 允悲 允悲
