source, target, weight
医院,发生,1
世界,发生,1
新闻,确诊病例,1
发现,接受,1
发现,疫苗,1
全球,报道,1
世界,人数,1
媒体,阳性,1
媒体,症状,1
世界,阳性,1
世界,报告,1
国家,报告,1
患者,报告,1
报告,日本,1
数据,无症状感染者,1
数据,症状,1
患者,症状,1
无症状感染者,核酸检测,1
人数,无症状感染者,1
感染,无症状感染者,1
无症状感染者,病例,1
人员,病例,1
感染,社会,1
报道,死亡,1
发现,新闻,1
抗疫,新闻,1
新闻,治疗,1
世界,措施,1
相关,研究,1
健康,研究,1
影响,研究,1
新增,经济,1
经济,超过,1
世界,检测,1
境外输入,影响,1
境外输入,意大利,1
检测,累计确诊,1
新增,治疗,1
无症状感染者,治疗,1
报告,英国,1
接受,英国,1
发布,接受,1
加油,医院,1
希望,累计确诊,1
控制,累计确诊,1
加油,数据,1
情况,提供,1
抗疫,接受,1
恢复,防疫,1
恢复,措施,1
新闻,相关,1
数据,日本,1
数据,治愈,1
日本,死亡,1
日本,治愈,1
全国,日本,1
日本,超过,1
全国,超过,1
口罩,感染,1
医疗,抗击,1
希望,治疗,1
核酸检测,病例,1
医疗,阳性,1
病例,阳性,1
医疗,病例,1
特朗普,累计确诊,1
全球,防控,1
检测,治愈,1
医护人员,媒体,1
关注,出院,1
感染,湖北,1
措施,新型,1
措施,英雄,1
新型,英雄,1
报道,消息,1
国家,报道,1
疫情防控,病例,1
意大利,治愈,1
治愈,英国,1
出院,意大利,1
出院,英国,1
确诊,防疫,1
世界,防疫,1
抗疫,累计,1
日记,确诊病例,1
日记,隔离,1
日本,武汉,1
人员,医护人员,1
影响,武汉,1
关注,日记,1
关注,加油,1
恢复,超话,1
关注,影响,1
抗疫,时间,1
世界,加油,1
流行,疫苗,1
健康,疫苗,1
影响,计划,1
治疗,特朗普,1
医疗,发现,1
人员,国际,1
国际,工作,1
世界,相关,1
出院,美国,1
境外输入,死亡,1
传播,公司,1
公司,社会,1
超话,防控,1
发布,防控,1
发布,确诊病例,1
接受,新增,1
接受,病例,1
报告,接受,1
工作,武汉,1
信息,全球,1
医疗,记者,1
医护人员,疫情防控,1
信息,患者,1
信息,隔离,1
做好,医护人员,1
做好,提供,1
希望,提供,1
人员,希望,1
中国,境外输入,1
健康,境外输入,1
健康,确诊病例,1
出院,国家,1
累计确诊,超过,1
全国,发生,1
发生,防疫,1
全国,防疫,1
组织,经济,1
影响,生活,1
结束,美国,1
北京,社会,1
医生,牺牲,1
感染,核酸检测,1
新闻,消息,1
抗击,新闻,1
新闻,生活,1
恢复,患者,1
情况,日本,1
全国,日记,1
日记,病例,1
日记,确诊,1
全国,流行,1
医疗,超话,1
医院,超话,1
时间,牺牲,1
确诊病例,超话,1
患者,新闻,1
新闻,治愈,1
希望,相关,1
数据,超话,1
希望,数据,1
数据,英雄,1
希望,英雄,1
北京,报道,1
公司,新型,1
应对,日本,1
工作,日本,1
公司,国家,1
公司,应对,1
全球,英国,1
北京,发布,1
意大利,防控,1
措施,确诊,1
恢复,累计确诊,1
工作,无症状感染者,1
工作,累计确诊,1
无症状感染者,累计确诊,1
世界,无症状感染者,1
死亡,消息,1
消息,病毒,1
人数,消息,1
全国,累计,1
医生,媒体,1
关注,牺牲,1
媒体,防控,1
英国,防控,1
媒体,措施,1
牺牲,英国,1
提供,无症状感染者,1
加油,国际,1
结束,超话,1
流行,计划,1
措施,病例,1
做好,疫苗,1
措施,疫苗,1
希望,疫苗,1
相关,美国,1
入境,新型,1
入境,医生,1
接受,确诊,1
医护人员,控制,1
抗击,检测,1
全球,阳性,1
消息,疫情防控,1
感染,韩国,1
全国,韩国,1
报道,流行,1
爆发,确诊病例,1
生活,疫苗,1
疫苗,经济,1
全国,经济,1
应对,生活,1
世界,新闻,1
医院,措施,1
全球,牺牲,1
患者,牺牲,1
感染,生活,1
全球,工作,1
全球,患者,1
抗击,社会,1
加油,社会,1
牺牲,英雄,1
生活,相关,1
影响,爆发,1
口罩,国家,1
发现,英国,1
传播,累计确诊,1
传播,病例,1
关注,病例,1
传播,关注,1
传播,日本,1
关注,日本,1
关注,韩国,1
传播,应对,1
发生,应对,1
发布,哀悼,1
报道,防疫,1
报道,措施,1
人类,患者,1
北京,韩国,1
结束,韩国,1
隔离,韩国,1
措施,病毒,1
做好,病毒,1
医护人员,病毒,1
医护人员,工作,1
武汉,韩国,1
意大利,湖北,1
湖北,韩国,1
中国,患者,1
患者,抗疫,1
中国,消息,1
抗疫,消息,1
关注,消息,1
关注,结束,1
世卫,人民,1
人民,组织,1
世卫,抗疫,1
抗疫,组织,1
世卫,病毒,1
报道,提供,1
新型,爆发,1
全球,组织,1
世卫,爆发,1
世卫,控制,1
控制,提供,1
全球,提供,1
发现,超话,1
时间,英雄,1
世界,英雄,1
英国,防疫,1
健康,爆发,1
爆发,经济,1
健康,经济,1
抗击,病例,1
传播,无症状感染者,1
影响,疫情防控,1
人员,计划,1
症状,超过,1
国际,确诊,1
希望,日记,1
希望,美国,1
健康,数据,1
全国,时间,1
死亡,湖北,1
全国,报告,1
全国,确诊病例,1
接受,死亡,1
接受,湖北,1
湖北,社会,1
湖北,累计,1
社会,累计,1
公司,韩国,1
公司,记者,1
计划,记者,1
国际,时间,1
国际,影响,1
做好,防控,1
新增,相关,1
接受,超话,1
抗疫,防控,1
医护人员,防控,1
发布,超过,1
人数,意大利,1
意大利,记者,1
媒体,新型,1
媒体,病毒,1
医生,英国,1
健康,医生,1
新增,时间,1
工作,死亡,1
病例,社会,1
治疗,社会,1
工作,社会,1
生活,社会,1
核酸检测,武汉,1
武汉,治疗,1
核酸检测,治疗,1
湖北,英雄,1
哀悼,湖北,1
人民,哀悼,1
抗击,治愈,1
世卫,确诊,1
希望,流行,1
时间,防控,1
北京,超话,1
发生,患者,1
湖北,病毒,1
新增,流行,1
境外输入,累计确诊,1
发布,无症状感染者,1
应对,无症状感染者,1
病毒,结束,1
核酸检测,结束,1
核酸检测,确诊病例,1
确诊病例,防疫,1
核酸检测,防疫,1
核酸检测,计划,1
结束,计划,1
计划,隔离,1
全国,控制,1
控制,病例,1
发布,病毒,1
医生,发布,1
全国,治愈,1
湖北,爆发,1
人数,爆发,1
人数,武汉,1
影响,数据,1
武汉,累计,1
报道,超过,1
发生,报道,1
发生,病例,1
新增,病毒,1
日记,超过,1
新增,日记,1
患者,爆发,1
全球,研究,1
世界,提供,1
控制,生活,1
流行,爆发,1
国际,隔离,1
世界,日本,1
美国,防疫,1
报告,检测,1
中国,治疗,1
人数,全球,1
人民,全球,1
全球,加油,1
治疗,经济,1
希望,报道,1
公司,经济,1
国际,经济,1
控制,治疗,1
全球,治疗,1
全球,恢复,1
影响,时间,1
控制,时间,1
新增,社会,1
发生,生活,1
医疗,经济,1
人类,医疗,1
人类,意大利,1
希望,日本,1
意大利,相关,1
提供,时间,1
恢复,消息,1
公司,恢复,1
感染,疫情防控,1
报告,新闻,1
全球,疫苗,1
疫苗,美国,1
人数,医护人员,1
医护人员,死亡,1
医护人员,特朗普,1
检测,超话,1
新增,阳性,1
媒体,特朗普,1
媒体,接受,1
媒体,检测,1
国际,组织,1
关注,爆发,1
国际,爆发,1
影响,组织,1
国家,检测,1
健康,国际,1
抗击,时间,1
抗击,美国,1
特朗普,结束,1
希望,烈士,1
希望,逝世,1
同胞,希望,1
中国,报告,1
世卫,报告,1
世卫,新增,1
人员,结束,1
全国,疫情防控,1
控制,检测,1
患者,接受,1
发布,患者,1
健康,国家,1
病毒,计划,1
意大利,超话,1
患者,生活,1
治愈,生活,1
做好,全国,1
美国,防控,1
确诊,防控,1
媒体,研究,1
传播,英国,1
工作,抗击,1
发生,媒体,1
做好,组织,1
国家,消息,1
希望,经济,1
信息,病毒,1
信息,数据,1
信息,新型,1
数据,新型,1
全球,症状,1
爆发,症状,1
治疗,研究,1
患者,研究,1
关注,治疗,1
医生,希望,1
口罩,希望,1
人民,口罩,1
中国,累计确诊,1
世界,累计确诊,1
世界,意大利,1
抗疫,疫情防控,1
接受,记者,1
全球,记者,1
影响,记者,1
关注,死亡,1
世界,关注,1
世卫,时间,1
流行,确诊病例,1
全国,发布,1
世界,累计,1
公司,检测,1
接受,社会,1
确诊,社会,1
应对,影响,1
传播,确诊,1
日本,病毒,1
做好,生活,1
无症状感染者,病毒,1
病毒,社会,1
人类,无症状感染者,1
无症状感染者,社会,1
人员,人类,1
人员,社会,1
情况,核酸检测,1
世界,口罩,1
世界,医疗,1
医疗,国家,1
国家,牺牲,1
牺牲,病毒,1
中国,牺牲,1
牺牲,社会,1
医疗,治疗,1
人民,爆发,1
人民,死亡,1
希望,死亡,1
中国,死亡,1
感染,相关,1
相关,确诊,1
相关,确诊病例,1
应对,消息,1
措施,消息,1
关注,相关,1
做好,湖北,1
希望,湖北,1
湖北,结束,1
加油,感染,1
境外输入,数据,1
出院,累计确诊,1
数据,武汉,1
医护人员,治愈,1
出院,医护人员,1
新型,治愈,1
公司,加油,1
疫情防控,组织,1
影响,日本,1
全球,计划,1
日记,生活,1
生活,超话,1
核酸检测,湖北,1
医疗,发布,1
人类,做好,1
人类,口罩,1
人民,健康,1
影响,情况,1
